	pseudotime	branches	scalings
cell_784	92	0	2.5877424943354073
cell_785	180	1	0.4277579422545199
cell_786	192	1	3.093419923165714
cell_787	229	4	0.91363738897854
cell_788	131	1	0.331075149711873
cell_789	178	1	0.6292511181621838
cell_790	93	0	3.0173772477899643
cell_791	174	1	2.2429401635335315
cell_792	115	2	0.707472528833409
cell_793	216	4	0.5905949489709975
cell_794	282	4	0.5084303154964499
cell_795	256	3	1.110409147203131
cell_796	235	4	1.891169093294003
cell_797	54	0	0.8049717501602944
cell_798	81	0	0.7891652798865931
cell_799	72	0	0.3548765998737063
cell_800	255	3	0.5287465614516389
cell_801	138	2	1.0166741480265402
cell_802	222	4	1.8932296867209617
cell_803	84	0	0.6557709863972362
cell_804	287	3	1.4466706850107145
cell_805	68	0	2.2465152414991287
cell_806	114	1	0.457201769734386
cell_807	190	2	0.2753707276114455
cell_808	122	1	0.6189198204040315
cell_809	91	0	2.592455016388491
cell_810	38	0	0.2843892961388228
cell_811	145	2	0.7055841600359283
cell_812	198	2	0.7790387920376906
cell_813	220	4	1.2778882399282099
cell_814	252	4	0.3880019804310065
cell_815	62	0	0.7780671755870601
cell_816	165	2	0.6080685180004036
cell_817	281	3	0.3083062914374338
cell_818	52	0	2.907133639203837
cell_819	297	4	0.32136875691091826
cell_820	40	0	2.578611715685375
cell_821	126	2	2.502919056901877
cell_822	64	0	2.244484640381128
cell_823	165	2	1.2597302307695315
cell_824	197	1	1.936282514693244
cell_825	239	3	1.0206169942195582
cell_826	252	3	2.2325973165113746
cell_827	294	3	0.6026383436748665
cell_828	275	4	0.488402380212075
cell_829	52	0	0.28222260456049036
cell_830	110	2	0.33360480289836636
cell_831	257	3	3.2634049196963524
cell_832	226	3	1.927752945017536
cell_833	209	4	4.267054220720157
cell_834	184	2	1.6524042231305225
cell_835	278	3	1.2575703420829543
cell_836	126	2	0.5613171420470838
cell_837	239	3	1.3960557927325075
cell_838	296	3	0.15545102480107648
cell_839	123	1	1.548222003115542
cell_840	22	0	0.7261234926260512
cell_841	144	1	0.5109480248464502
cell_842	249	3	2.22390778313061
cell_843	198	2	0.24120271637681137
cell_844	293	4	0.8494743776503639
cell_845	209	3	1.0301695606342087
cell_846	254	4	0.8245307964400047
cell_847	38	0	0.3420576359080125
cell_848	112	2	0.8221702334142608
cell_849	38	0	1.309182059029185
cell_850	69	0	3.474757097988964
cell_851	273	3	1.2178151508211406
cell_852	231	3	0.4916294725967235
cell_853	174	1	0.41670994124891897
cell_854	161	2	0.2762318236211622
cell_855	85	0	1.4284785527953026
cell_856	232	4	0.4783970823877498
cell_857	244	3	0.8094263313681412
cell_858	247	4	1.3703669128742342
cell_859	212	4	0.6178542954037138
cell_860	5	0	1.223347255898527
cell_861	108	2	0.6330775248070132
cell_862	236	3	0.31867400432419785
cell_863	32	0	0.5988643389747829
cell_864	155	1	0.8852396778540036
cell_865	256	4	0.6028567279874341
cell_866	122	2	1.1290096862575043
cell_867	192	1	1.235371671963129
cell_868	181	1	0.4221574551978267
cell_869	168	2	0.8508608485728025
cell_870	276	4	0.42050257787191836
cell_871	203	4	2.905809893530651
cell_872	63	0	0.8146983622497187
cell_873	20	0	0.40393411960330744
cell_874	200	3	3.193714300551255
cell_875	131	2	0.34611513068649236
cell_876	144	1	1.9894444641015898
cell_877	107	1	0.671132987645126
cell_878	151	1	0.28552302871030333
cell_879	34	0	1.3370379934643046
cell_880	230	4	0.3244024689163348
cell_881	12	0	3.0053225660131258
cell_882	194	2	0.4945657133875394
cell_883	202	4	2.26022698481356
cell_884	136	2	0.412932643364048
cell_885	285	4	1.9812255917550277
cell_886	240	4	0.6026656184245999
cell_887	178	2	1.3965049906738523
cell_888	0	0	1.3042945529031718
cell_889	10	0	0.284123820144339
cell_890	133	1	0.3998568873684452
cell_891	267	3	1.5777807656177039
cell_892	266	4	0.4910596645526903
cell_893	152	2	1.60317399872164
cell_894	62	0	0.5418640558652057
cell_895	198	2	0.929901315207186
cell_896	286	4	1.9449892145942858
cell_897	293	4	1.4240863752918953
cell_898	141	2	0.9476415618371127
cell_899	8	0	2.85588750777503
cell_900	165	2	1.8564970914290846
cell_901	298	4	1.5147792043387496
cell_902	194	1	0.16741047903366676
cell_903	224	4	1.540946667375085
cell_904	262	3	0.695893629815166
cell_905	206	4	1.5644717095652199
cell_906	79	0	0.9276917350197257
cell_907	143	1	0.8690134471152285
cell_908	173	2	1.8651107378738272
cell_909	200	3	3.4249927944857177
cell_910	250	3	1.71398300404292
cell_911	198	1	2.2276322703686318
cell_912	70	0	1.0448969008669147
cell_913	265	3	0.5069063748128816
cell_914	47	0	1.133922322798224
cell_915	155	2	1.1069690966603305
cell_916	152	2	0.9889768289894498
cell_917	253	4	0.7412616687721602
cell_918	271	3	0.7960914488551276
cell_919	204	3	2.7655034673061314
cell_920	197	2	1.7595435978065723
cell_921	77	0	1.0911018842975893
cell_922	126	2	2.734776184558964
cell_923	66	0	2.2172479545866906
cell_924	269	3	2.454569078238452
cell_925	53	0	0.6493337441797613
cell_926	81	0	0.9751073961147739
cell_927	145	1	0.2987913008610418
cell_928	147	1	0.5599131223919878
cell_929	254	3	0.6874698506598705
cell_930	292	3	3.376272132791464
cell_931	154	1	0.6943310125882408
cell_932	72	0	0.6804824154225362
cell_933	272	4	0.5990259458613809
cell_934	180	2	3.6319137981694327
cell_935	43	0	1.1382645945530308
cell_936	175	2	0.5181291672473544
cell_937	143	2	1.226474593490882
cell_938	122	2	1.586584282426144
cell_939	237	4	0.49762164887985283
cell_940	143	2	1.4860524684310903
cell_941	256	4	2.258180637717285
cell_942	224	4	0.8177631464234167
cell_943	196	2	0.31518351273647327
cell_944	199	1	0.48050654061818937
cell_945	194	2	1.3179657023356561
cell_946	276	3	0.5707815953598402
cell_947	54	0	0.507611912402838
cell_948	257	4	1.957027479676698
cell_949	116	1	0.6063798278368636
cell_950	211	3	0.8973276028466127
cell_951	290	4	0.8795069295535581
cell_952	252	3	0.8649076970870344
cell_953	182	2	1.1387512802516866
cell_954	99	0	0.44150346560101267
cell_955	134	2	0.7351655329643922
cell_956	209	3	0.46203197436661536
cell_957	161	2	0.6608245483990285
cell_958	127	1	1.136636201570221
cell_959	145	2	0.5007549960354956
cell_960	201	4	4.163616866093253
cell_961	172	1	0.2001693075991318
cell_962	224	4	1.2646819630515624
cell_963	156	2	1.2306142937141242
cell_964	264	4	0.47660917792823465
cell_965	216	3	3.758506262233367
cell_966	186	1	0.22684420762648963
cell_967	239	4	3.1391874256531787
cell_968	176	1	0.46869162558609073
cell_969	82	0	0.4073991254668906
cell_970	254	4	1.1753385601639417
cell_971	160	2	1.854138820716822
cell_972	268	4	2.500314261320891
cell_973	141	1	0.7669407074979948
cell_974	187	1	0.5289105743447785
cell_975	255	4	0.5960482359723397
cell_976	120	2	4.185253257075506
cell_977	104	1	3.117273591246507
cell_978	226	3	0.5886069952398105
cell_979	267	3	1.2482474110266164
cell_980	176	2	0.45571663820627634
cell_981	120	1	1.9963566745135528
cell_982	177	1	1.1220812439798018
cell_983	265	4	0.7573745571851773
cell_984	62	0	1.0607021893801796
cell_985	261	4	0.7844091815762132
cell_986	276	4	0.4024350870693495
cell_987	133	2	1.4671041415236143
cell_988	209	4	3.828771911749007
cell_989	28	0	2.214188742907215
cell_990	185	2	1.4673610795984906
cell_991	11	0	4.748966366793066
cell_992	228	3	0.9814166511366714
cell_993	230	3	3.010109196751376
cell_994	187	1	1.6181486706463746
cell_995	159	2	0.6210954504780409
cell_996	269	4	0.720884477861419
cell_997	270	4	0.7716763253623596
cell_998	147	1	2.4093499913444263
cell_999	11	0	0.2054776940138549
